,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
580,53,management,married,university.degree,unknown,no,no,telephone,may,tue,369,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
607,53,blue-collar,married,basic.4y,unknown,no,yes,telephone,may,tue,78,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
608,37,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,258,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
616,39,services,married,high.school,unknown,no,no,telephone,may,tue,218,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
625,46,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
629,40,technician,married,professional.course,no,no,no,telephone,may,tue,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
644,36,technician,single,professional.course,no,no,no,telephone,may,tue,211,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
653,39,blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,333,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
667,31,admin.,single,university.degree,no,no,no,telephone,may,tue,189,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
678,47,entrepreneur,married,professional.course,no,no,no,telephone,may,tue,400,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
680,48,technician,married,basic.4y,unknown,no,no,telephone,may,tue,118,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
681,45,housemaid,married,professional.course,unknown,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
682,36,self-employed,married,university.degree,no,no,no,telephone,may,tue,346,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
685,38,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,276,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
692,54,retired,married,high.school,no,yes,no,telephone,may,tue,234,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
706,51,admin.,married,university.degree,no,no,no,telephone,may,tue,87,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
716,45,technician,married,university.degree,no,no,no,telephone,may,tue,152,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
725,40,technician,married,basic.9y,no,no,no,telephone,may,tue,135,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
729,24,technician,single,professional.course,no,no,no,telephone,may,tue,421,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
731,48,blue-collar,married,professional.course,unknown,no,no,telephone,may,tue,207,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
750,30,services,divorced,basic.9y,no,no,yes,telephone,may,tue,126,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
772,41,management,married,unknown,unknown,yes,no,telephone,may,wed,149,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
775,41,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
793,40,entrepreneur,married,basic.9y,no,no,no,telephone,may,wed,128,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
796,44,blue-collar,single,high.school,no,no,no,telephone,may,wed,292,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
804,36,admin.,married,high.school,no,no,no,telephone,may,wed,152,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
807,56,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,wed,159,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
809,31,admin.,single,university.degree,no,yes,yes,telephone,may,wed,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
810,57,self-employed,single,high.school,unknown,no,no,telephone,may,wed,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
813,50,admin.,married,university.degree,no,no,no,telephone,may,wed,102,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
814,52,blue-collar,single,high.school,unknown,unknown,unknown,telephone,may,wed,124,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
820,31,admin.,single,university.degree,no,no,no,telephone,may,wed,992,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
824,30,management,divorced,high.school,no,no,yes,telephone,may,wed,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
829,54,technician,married,university.degree,no,yes,no,telephone,may,wed,464,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
832,28,student,single,basic.9y,unknown,yes,yes,telephone,may,wed,732,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
840,39,admin.,single,unknown,no,yes,no,telephone,may,wed,1521,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
842,50,entrepreneur,married,basic.9y,no,yes,yes,telephone,may,wed,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
847,34,admin.,single,high.school,no,yes,no,telephone,may,wed,359,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
854,45,housemaid,married,basic.4y,unknown,yes,no,telephone,may,wed,83,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
856,41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
860,40,management,married,university.degree,no,yes,no,telephone,may,wed,295,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
870,37,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,591,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
871,40,blue-collar,married,high.school,no,yes,no,telephone,may,wed,294,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
874,43,technician,single,university.degree,no,no,no,telephone,may,wed,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
876,44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,786,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
882,43,technician,single,university.degree,no,yes,no,telephone,may,wed,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
883,47,retired,married,basic.4y,unknown,yes,no,telephone,may,wed,47,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
907,46,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,423,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
908,59,services,divorced,high.school,no,no,no,telephone,may,wed,231,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
916,35,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,45,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
918,40,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,68,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
926,53,technician,married,high.school,no,yes,no,telephone,may,wed,274,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
937,48,management,divorced,university.degree,no,yes,no,telephone,may,wed,866,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
938,32,admin.,single,university.degree,unknown,yes,no,telephone,may,wed,229,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
943,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,1581,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
954,36,housemaid,divorced,basic.9y,unknown,no,no,telephone,may,wed,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
963,46,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,406,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
975,41,admin.,single,basic.6y,no,unknown,unknown,telephone,may,wed,92,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
980,35,admin.,single,university.degree,no,no,no,telephone,may,wed,559,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
982,45,entrepreneur,single,university.degree,no,unknown,unknown,telephone,may,wed,229,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
998,57,technician,married,basic.9y,no,yes,no,telephone,may,wed,68,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1007,45,services,married,high.school,unknown,yes,no,telephone,may,wed,349,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1008,36,unemployed,married,basic.4y,no,yes,no,telephone,may,wed,170,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1012,50,technician,married,high.school,no,no,no,telephone,may,wed,224,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1015,44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,607,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1029,49,technician,married,high.school,no,yes,no,telephone,may,wed,418,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1035,30,services,married,professional.course,unknown,yes,no,telephone,may,wed,263,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1048,39,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,108,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1066,30,services,married,unknown,no,yes,no,telephone,may,wed,274,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1069,56,retired,married,basic.4y,no,no,no,telephone,may,wed,134,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1078,44,entrepreneur,married,basic.4y,unknown,no,no,telephone,may,wed,1574,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
1079,26,technician,single,basic.9y,no,yes,no,telephone,may,wed,139,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1083,33,admin.,divorced,high.school,no,yes,no,telephone,may,wed,161,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1085,42,management,married,basic.6y,no,yes,yes,telephone,may,wed,89,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1090,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,231,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1095,26,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,73,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1105,34,management,married,university.degree,no,yes,no,telephone,may,wed,155,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1108,36,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,66,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1114,54,admin.,divorced,university.degree,no,no,no,telephone,may,wed,1689,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
1125,37,management,married,high.school,unknown,no,no,telephone,may,wed,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1131,43,unknown,married,high.school,unknown,no,no,telephone,may,wed,35,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1148,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,31,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1159,25,services,married,professional.course,unknown,no,no,telephone,may,thu,125,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1164,33,admin.,single,university.degree,no,no,no,telephone,may,thu,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1166,42,services,married,professional.course,no,yes,no,telephone,may,thu,813,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
1171,40,admin.,single,high.school,no,no,yes,telephone,may,thu,110,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1188,32,admin.,married,high.school,no,no,no,telephone,may,thu,70,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1189,46,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,541,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
1194,28,blue-collar,married,basic.6y,unknown,no,no,telephone,may,thu,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1211,28,admin.,single,professional.course,no,no,no,telephone,may,thu,462,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1215,31,management,married,university.degree,no,yes,yes,telephone,may,thu,139,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1216,59,retired,married,unknown,no,yes,no,telephone,may,thu,96,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1221,30,housemaid,married,high.school,unknown,no,no,telephone,may,thu,159,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1227,43,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,323,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1229,35,unknown,single,basic.4y,unknown,no,no,telephone,may,thu,82,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1233,32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1119,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
1237,41,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,152,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1240,36,blue-collar,married,high.school,no,no,no,telephone,may,thu,268,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1248,32,student,single,university.degree,no,no,no,telephone,may,thu,107,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1255,43,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,thu,255,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1256,43,technician,single,university.degree,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
1258,33,admin.,single,high.school,unknown,yes,no,telephone,may,thu,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1265,39,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,124,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
