,age,campaign,cons.conf.idx,cons.price.idx,contact,day_of_week,default_unknown,default_yes,duration,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,education_unknown,emp.var.rate,euribor3m,housing,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,loan,marital_married,marital_single,marital_unknown,month,nr.employed,pdays,poutcome_nonexistent,poutcome_success,previous,y
87,0.0617283950617283,0.0,0.6025104602510458,0.6987529228371017,1.0,1.0,1.0,0.0,0.820992797712667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.9573792790750396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2222222222222222,0.8597353497164448,1.0,1.0,0.0,0.0,1.0
89,0.1481481481481481,0.0,0.3389121338912131,0.6691348402182413,0.0,0.0,0.0,0.0,0.7437559071296996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9807299931988211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,1.0
91,0.2716049382716049,0.0,0.6025104602510458,0.6987529228371017,1.0,0.75,0.0,0.0,0.7409778362545074,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,0.9580593969621404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.8597353497164448,1.0,1.0,0.0,0.0,1.0
93,0.5308641975308641,0.0,1.0,0.0896336710833978,0.0,0.5,0.0,0.0,0.6673822306124111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0240308320108818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7777777777777779,0.2037807183364819,0.6666666666666667,0.0,0.0,0.1428571428571428,1.0
94,0.345679012345679,0.0181818181818181,0.3389121338912131,0.6691348402182413,1.0,0.75,1.0,0.0,0.3919843756702048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9811834051235548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,0.0
95,0.2098765432098765,0.0181818181818181,0.1924686192468616,0.2696804364770102,0.0,0.75,0.0,0.0,0.6585712040288184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1571072319201994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2222222222222222,0.512287334593573,1.0,1.0,0.0,0.0,0.0
97,0.382716049382716,0.0181818181818181,0.3389121338912131,0.6691348402182413,0.0,0.75,1.0,0.0,0.5507832068127649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9811834051235548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,0.0
98,0.2098765432098765,0.0363636363636363,0.1924686192468616,0.2696804364770102,1.0,0.0,0.0,0.0,0.5094464638657551,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.1632282929041034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.512287334593573,1.0,1.0,0.0,0.0,0.0
100,0.3209876543209876,0.0181818181818181,0.6150627615062758,0.4844115354637566,0.0,0.25,0.0,0.0,0.7918043204387807,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9825436408977556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5555555555555556,1.0,1.0,1.0,0.0,0.0,1.0
105,0.5061728395061729,0.0,0.1924686192468616,0.2696804364770102,0.0,0.0,1.0,0.0,0.608897147549857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1382906370437542,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.512287334593573,1.0,1.0,0.0,0.0,0.0
106,0.1481481481481481,0.0,0.3389121338912131,0.6691348402182413,0.0,1.0,0.0,0.0,0.646660205928461,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9800498753117208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,0.0
107,0.4567901234567901,0.0,0.3765690376569037,0.8823070927513683,1.0,0.5,0.0,0.0,0.6665709505038611,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9805032872364544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
109,0.1851851851851851,0.0,0.3389121338912131,0.6691348402182413,0.0,0.5,0.0,0.0,0.6397092724183482,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9814101110859216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,0.0
114,0.3086419753086419,0.0,0.1924686192468616,0.2696804364770102,0.0,0.5,0.0,0.0,0.6800186276166762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1466787576513262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.512287334593573,1.0,1.0,0.0,0.0,0.0
115,0.1975308641975308,0.0,0.3682008368200835,0.3893219017926768,0.0,0.25,0.0,0.0,0.5014409845439322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6875,0.7977782815688053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8778827977315693,1.0,1.0,0.0,0.0,0.0
117,0.2592592592592592,0.0,0.1924686192468616,0.2696804364770102,0.0,0.25,0.0,0.0,0.784716593334517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1609612332804353,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.512287334593573,1.0,1.0,0.0,0.0,1.0
120,0.4814814814814814,0.0181818181818181,0.1548117154811712,0.3406079501169188,0.0,0.25,0.0,0.0,0.5540062892371289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.1747902969848107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.512287334593573,1.0,1.0,0.0,0.0,1.0
132,0.2098765432098765,0.0363636363636363,0.0334728033472799,0.2501948558067042,0.0,1.0,0.0,0.0,0.7411938788303564,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.2475629109045568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.512287334593573,1.0,1.0,0.0,0.0,1.0
134,0.2469135802469135,0.0,0.3682008368200835,0.3893219017926768,0.0,0.5,0.0,0.0,0.6541316149049302,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6875,0.7902969848107007,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8778827977315693,0.6666666666666667,0.0,0.0,0.1428571428571428,0.0
143,0.3086419753086419,0.0181818181818181,0.3682008368200835,0.3893219017926768,0.0,0.0,0.0,0.0,0.7622810107139464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6875,0.8063931081387441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,0.6666666666666667,0.0,0.0,0.1428571428571428,1.0
145,0.3209876543209876,0.0,0.6025104602510458,0.6987529228371017,1.0,0.5,1.0,0.0,0.6391967001499177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.9576059850374066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.8597353497164448,1.0,1.0,0.0,0.0,0.0
148,0.2839506172839506,0.0909090909090909,0.3765690376569037,0.8823070927513683,1.0,0.5,0.0,0.0,0.8563037593554949,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9589662208116074,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0
149,0.1111111111111111,0.2545454545454545,0.3765690376569037,0.8823070927513683,1.0,0.5,1.0,0.0,0.7367957909062232,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9589662208116074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0
157,0.2345679012345679,0.0,0.3682008368200835,0.3893219017926768,0.0,0.25,0.0,0.0,0.5417298832341686,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.7977782815688053,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,0.6666666666666667,0.0,0.0,0.1428571428571428,0.0
161,0.5185185185185184,0.0181818181818181,0.6150627615062758,0.4844115354637566,0.0,0.5,0.0,0.0,0.6681879539642915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9823169349353889,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5555555555555556,1.0,1.0,1.0,0.0,0.0,0.0
165,0.3950617283950617,0.0,0.3765690376569037,0.8823070927513683,1.0,0.75,0.0,0.0,0.6376454449299462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9594196327363408,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
170,0.074074074074074,0.0,0.3389121338912131,0.6691348402182413,0.0,0.5,0.0,0.0,0.7908175608524628,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9800498753117208,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,1.0
172,0.1481481481481481,0.0,0.3682008368200835,0.3893219017926768,0.0,0.5,0.0,0.0,0.786785606586147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6875,0.7902969848107007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8888888888888888,0.8778827977315693,1.0,1.0,0.0,0.0,1.0
191,0.3209876543209876,0.0545454545454545,0.3682008368200835,0.3893219017926768,1.0,0.75,0.0,0.0,0.3581428520730854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.7803219224665607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,1.0,1.0,0.0,0.0,0.0
194,0.0246913580246913,0.0727272727272727,0.5564853556485354,0.7786438035853465,0.0,0.75,0.0,0.0,0.7194438844174483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4791666666666667,0.0555429607798685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.0,0.3333333333333333,0.0,1.0,0.1428571428571428,1.0
199,0.0987654320987654,0.0363636363636363,0.0543933054393304,0.9353078721745902,0.0,1.0,0.0,0.0,0.7433327586536977,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4791666666666667,0.08954885513489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7777777777777779,0.0,1.0,1.0,0.0,0.0,1.0
201,0.3086419753086419,0.0181818181818181,0.3682008368200835,0.3893219017926768,0.0,0.0,0.0,0.0,0.56984667205054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6875,0.8063931081387441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,0.6666666666666667,0.0,0.0,0.1428571428571428,0.0
205,0.1358024691358024,0.0181818181818181,0.4184100418410041,0.2969602494154344,0.0,0.75,0.0,0.0,0.6697830312775754,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1041666666666667,0.1419179324416232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.4257088846880883,1.0,1.0,0.0,0.0,1.0
211,0.4691358024691357,0.0,0.4393305439330544,0.7848791893998452,1.0,0.5,0.0,0.0,0.6397092724183482,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.0380866016776241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444443,0.1058601134215493,0.3333333333333333,0.0,1.0,0.1428571428571428,1.0
218,0.1604938271604938,0.0,0.3765690376569037,0.8823070927513683,1.0,0.0,0.0,0.0,0.5253477691257531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9591929267739744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
219,0.2469135802469135,0.0181818181818181,0.4393305439330544,0.7848791893998452,0.0,1.0,0.0,0.0,0.5381468098084997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3541666666666667,0.0353661301292224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444443,0.1058601134215493,0.0,0.0,1.0,0.4285714285714285,0.0
220,0.3333333333333333,0.0181818181818181,0.1924686192468616,0.2696804364770102,0.0,1.0,0.0,0.0,0.6554811725306058,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.1396508728179551,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.512287334593573,1.0,1.0,0.0,0.0,0.0
221,0.2592592592592592,0.0181818181818181,0.3682008368200835,0.3893219017926768,0.0,0.5,0.0,0.0,0.6202900913078108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6875,0.7902969848107007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,0.6666666666666667,0.0,0.0,0.1428571428571428,0.0
227,0.3209876543209876,0.0,0.3682008368200835,0.3893219017926768,1.0,0.25,0.0,0.0,0.5761581170225034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.8408524144184992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,1.0,1.0,0.0,0.0,0.0
228,0.3580246913580246,0.0545454545454545,0.3389121338912131,0.6691348402182413,1.0,1.0,1.0,0.0,0.8909739164156982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9811834051235548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,1.0
240,0.4444444444444445,0.0181818181818181,0.3682008368200835,0.3893219017926768,0.0,0.25,0.0,0.0,0.6763307033473182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6875,0.7977782815688053,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,1.0,1.0,0.0,0.0,0.0
246,0.1728395061728395,0.0363636363636363,0.3765690376569037,0.8823070927513683,1.0,0.75,1.0,0.0,0.7356700871054456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9795964633869872,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0
255,0.1604938271604938,0.0,0.3682008368200835,0.3893219017926768,1.0,0.5,0.0,0.0,0.228907431269174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6875,0.9133983223758786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,1.0,1.0,0.0,0.0,0.0
259,0.1851851851851851,0.0363636363636363,0.3389121338912131,0.6691348402182413,1.0,0.0,0.0,0.0,0.5507832068127649,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9807299931988211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4444444444444443,1.0,1.0,1.0,0.0,0.0,0.0
268,0.3209876543209876,0.109090909090909,0.6150627615062758,0.4844115354637566,0.0,0.75,0.0,0.0,0.6701784439170553,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9825436408977556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5555555555555556,1.0,1.0,1.0,0.0,0.0,0.0
274,0.5185185185185184,0.0181818181818181,0.3765690376569037,0.8823070927513683,1.0,1.0,1.0,0.0,0.433941886018115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9805032872364544,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
278,0.2839506172839506,0.0181818181818181,0.3682008368200835,0.3893219017926768,0.0,1.0,0.0,0.0,0.5030862582093689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6875,0.7678530945363864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.8778827977315693,0.6666666666666667,0.0,0.0,0.1428571428571428,0.0
279,0.1975308641975308,0.0181818181818181,0.4184100418410041,0.2969602494154344,0.0,1.0,0.0,0.0,0.7242771433474918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1041666666666667,0.1437315801405577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.4257088846880883,1.0,1.0,0.0,0.0,0.0
