,"age;""job"";""marital"";""education"";""default"";""housing"";""loan"";""contact"";""month"";""day_of_week"";""duration"";""campaign"";""pdays"";""previous"";""poutcome"";""emp.var.rate"";""cons.price.idx"";""cons.conf.idx"";""euribor3m"";""nr.employed"";""y"""
50,"54;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";160;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
54,"55;""blue-collar"";""married"";""basic.4y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";269;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
60,"47;""entrepreneur"";""married"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";449;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
66,"44;""blue-collar"";""single"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";91;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
69,"44;""blue-collar"";""single"";""basic.4y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""mon"";177;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
70,"41;""management"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";200;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
73,"57;""unknown"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";211;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
74,"37;""admin."";""married"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";214;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
77,"33;""services"";""married"";""high.school"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";337;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
84,"38;""technician"";""single"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";20;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
86,"41;""management"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";529;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
88,"49;""technician"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";1467;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""yes"""
93,"33;""unemployed"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";545;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
97,"53;""admin."";""divorced"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";287;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
101,"49;""blue-collar"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";55;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
105,"43;""services"";""single"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";21;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
106,"34;""housemaid"";""married"";""basic.6y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";300;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
108,"42;""entrepreneur"";""married"";""unknown"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";293;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
120,"40;""blue-collar"";""married"";""high.school"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";98;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
125,"42;""admin."";""married"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";262;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
135,"39;""management"";""divorced"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";207;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
147,"35;""admin."";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";338;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
158,"43;""technician"";""single"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";186;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
182,"42;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";673;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""yes"""
184,"54;""blue-collar"";""married"";""basic.4y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";102;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
203,"43;""admin."";""married"";""unknown"";""no"";""no"";""no"";""telephone"";""may"";""mon"";277;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
208,"36;""services"";""single"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";291;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
220,"35;""admin."";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";216;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
223,"46;""technician"";""married"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";288;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
225,"58;""retired"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";132;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
226,"42;""technician"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";64;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
240,"57;""retired"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";238;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
241,"36;""technician"";""single"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";124;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
244,"30;""technician"";""married"";""university.degree"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";40;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
251,"41;""blue-collar"";""married"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";211;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
252,"51;""services"";""married"";""basic.6y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";117;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
273,"32;""admin."";""single"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";611;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
279,"51;""retired"";""married"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";118;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
280,"47;""blue-collar"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";92;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
282,"53;""admin."";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";189;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
284,"42;""blue-collar"";""divorced"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";189;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
286,"39;""housemaid"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";935;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""yes"""
287,"37;""admin."";""single"";""high.school"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";56;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
293,"45;""blue-collar"";""married"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";164;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
296,"49;""blue-collar"";""divorced"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";742;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
298,"35;""services"";""divorced"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";122;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
300,"38;""services"";""single"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";357;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
301,"50;""blue-collar"";""divorced"";""high.school"";""unknown"";""no"";""yes"";""telephone"";""may"";""mon"";200;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
302,"59;""retired"";""married"";""professional.course"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";107;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
303,"43;""unknown"";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";267;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
305,"40;""admin."";""married"";""basic.6y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";215;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
312,"36;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";108;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
314,"40;""management"";""married"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";358;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
315,"34;""admin."";""single"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";453;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
320,"54;""management"";""single"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";224;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
321,"53;""admin."";""single"";""basic.6y"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";148;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
326,"26;""admin."";""single"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";231;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
329,"36;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""mon"";669;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
332,"35;""management"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";174;5;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
347,"41;""blue-collar"";""single"";""basic.9y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";421;4;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
349,"57;""blue-collar"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";164;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
351,"55;""technician"";""married"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""mon"";113;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
361,"57;""management"";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";379;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
365,"36;""technician"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""tue"";210;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
371,"37;""blue-collar"";""married"";""basic.9y"";""no"";""no"";""yes"";""telephone"";""may"";""tue"";54;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
372,"46;""admin."";""single"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";344;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
373,"22;""blue-collar"";""single"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";195;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
377,"38;""admin."";""single"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""tue"";189;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
387,"48;""housemaid"";""married"";""basic.6y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""tue"";501;4;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
391,"50;""management"";""married"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";149;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
395,"36;""technician"";""married"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""tue"";769;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
396,"56;""services"";""married"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";135;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
400,"52;""services"";""single"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""tue"";455;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
407,"39;""admin."";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";203;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
415,"51;""blue-collar"";""married"";""basic.4y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""tue"";180;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
416,"39;""self-employed"";""single"";""basic.9y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""tue"";90;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
425,"49;""blue-collar"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";102;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
428,"50;""unknown"";""married"";""unknown"";""unknown"";""yes"";""no"";""telephone"";""may"";""tue"";185;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
429,"31;""services"";""married"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";276;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
432,"30;""self-employed"";""single"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";262;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
434,"51;""services"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";141;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
436,"46;""housemaid"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";150;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
438,"47;""admin."";""divorced"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""tue"";196;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
439,"46;""management"";""married"";""unknown"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";149;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
440,"40;""technician"";""married"";""professional.course"";""unknown"";""no"";""yes"";""telephone"";""may"";""tue"";264;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
446,"42;""technician"";""married"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""tue"";1623;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""yes"""
465,"44;""admin."";""married"";""high.school"";""no"";""yes"";""yes"";""telephone"";""may"";""tue"";177;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
466,"39;""management"";""married"";""basic.6y"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";27;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
468,"52;""admin."";""married"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";358;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
472,"31;""admin."";""divorced"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""tue"";47;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
478,"57;""retired"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""tue"";116;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
482,"42;""retired"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";145;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
487,"35;""technician"";""married"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";278;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
488,"45;""housemaid"";""married"";""professional.course"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";188;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
490,"34;""technician"";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";226;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
492,"41;""services"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";157;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
497,"35;""admin."";""divorced"";""university.degree"";""unknown"";""yes"";""no"";""telephone"";""may"";""tue"";325;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
498,"53;""admin."";""married"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";233;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
503,"51;""services"";""divorced"";""high.school"";""unknown"";""yes"";""no"";""telephone"";""may"";""tue"";568;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
509,"47;""blue-collar"";""married"";""high.school"";""unknown"";""yes"";""no"";""telephone"";""may"";""tue"";269;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
514,"59;""entrepreneur"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";91;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
515,"32;""technician"";""married"";""unknown"";""unknown"";""yes"";""no"";""telephone"";""may"";""tue"";267;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
516,"42;""housemaid"";""single"";""basic.4y"";""unknown"";""yes"";""no"";""telephone"";""may"";""tue"";198;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
519,"42;""admin."";""married"";""unknown"";""no"";""no"";""no"";""telephone"";""may"";""tue"";221;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
523,"39;""blue-collar"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";198;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
527,"38;""admin."";""divorced"";""high.school"";""no"";""yes"";""yes"";""telephone"";""may"";""tue"";179;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
540,"55;""self-employed"";""married"";""unknown"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";146;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
547,"35;""admin."";""divorced"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""tue"";259;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
548,"34;""admin."";""single"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""tue"";26;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
552,"42;""entrepreneur"";""married"";""basic.6y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";179;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
555,"40;""technician"";""married"";""basic.4y"";""no"";""no"";""yes"";""telephone"";""may"";""tue"";195;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
557,"40;""technician"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";217;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
559,"39;""blue-collar"";""married"";""basic.6y"";""unknown"";""yes"";""yes"";""telephone"";""may"";""tue"";427;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
564,"35;""admin."";""divorced"";""university.degree"";""no"";""unknown"";""unknown"";""telephone"";""may"";""tue"";179;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
566,"49;""blue-collar"";""married"";""high.school"";""unknown"";""no"";""no"";""telephone"";""may"";""tue"";69;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
570,"49;""entrepreneur"";""married"";""professional.course"";""no"";""unknown"";""unknown"";""telephone"";""may"";""tue"";524;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
585,"34;""admin."";""single"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""tue"";262;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
593,"34;""services"";""single"";""high.school"";""no"";""unknown"";""unknown"";""telephone"";""may"";""tue"";147;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
595,"57;""technician"";""married"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";402;4;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
596,"42;""technician"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";209;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
597,"48;""admin."";""married"";""professional.course"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";92;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
600,"32;""admin."";""single"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""tue"";65;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
602,"47;""blue-collar"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";285;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
604,"32;""admin."";""single"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";278;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
606,"36;""services"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""tue"";158;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
611,"41;""admin."";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""tue"";635;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
614,"38;""admin."";""married"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";802;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
624,"30;""blue-collar"";""single"";""unknown"";""no"";""yes"";""yes"";""telephone"";""may"";""tue"";201;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
636,"36;""admin."";""married"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""tue"";132;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
642,"34;""blue-collar"";""married"";""basic.4y"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";311;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
644,"36;""technician"";""single"";""professional.course"";""no"";""no"";""no"";""telephone"";""may"";""tue"";211;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
646,"33;""housemaid"";""divorced"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""tue"";392;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
649,"33;""blue-collar"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""tue"";328;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
650,"32;""housemaid"";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";100;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
651,"32;""housemaid"";""married"";""high.school"";""no"";""no"";""no"";""telephone"";""may"";""tue"";226;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
656,"33;""services"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""tue"";202;4;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
662,"43;""services"";""married"";""high.school"";""no"";""no"";""yes"";""telephone"";""may"";""tue"";262;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
666,"47;""admin."";""divorced"";""university.degree"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";160;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
668,"32;""blue-collar"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";477;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
672,"44;""admin."";""married"";""high.school"";""no"";""yes"";""no"";""telephone"";""may"";""tue"";221;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.857;5191;""no"""
